smiles,affinity,iteration
N#Cc1c(F)ccc(Br)c1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-34.561530475618966,101
CC(C)c1cccc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)c1,-43.75209918342866,102
Cc1cc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)ccc1C(C)C,-46.991555781523765,103
CC(C)c1ccccc1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-42.51459438838094,104
CC(C)COc1cccc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)c1,-37.34520622304765,105
Cc1ccc(C(C)C)cc1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-39.38356117904765,106
CCC(C)(C)c1ccc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)cc1,-34.09550346838089,107
Cc1cc(F)ccc1[C@@H](C)OC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-30.69595903714289,108
Cc1cccc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)c1C,-44.58541088304763,109
CSc1ccccc1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-44.96651828952383,110
CSc1cccc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)c1,-29.2003173750476,111
C[C@@H](COC(=O)c1[nH]c2c(Br)cccc2c1CCCO)CC1CCCC1,-44.62662421885716,112
Cc1cccc(CCCOC(=O)c2[nH]c3c(Br)cccc3c2CCCO)c1,-31.64489245980955,113
CCSc1ccccc1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-38.16730033657144,114
CC[C@@H](COC(=O)c1[nH]c2c(Br)cccc2c1CCCO)CC(C)C,-36.284207872,115
O=C(OCc1cccc(C2CC2)c1)c1[nH]c2c(Br)cccc2c1CCCO,-40.32783981199994,116
O=C(OCc1cccc(C(F)F)c1)c1[nH]c2c(Br)cccc2c1CCCO,-39.28959682266669,117
Cc1cc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)ccc1N(C)C,-31.19317369542862,118
CCCc1ccc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)cc1,-41.340111879238144,119
CCC1(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)CCCCC1,-35.80299189847617,120
C=CC[C@@H]1CCCCN1C(=O)c1[nH]c2c(Br)cccc2c1CCCO,-39.53729498380949,121
C=CC[C@H]1CCCCN1C(=O)c1[nH]c2c(Br)cccc2c1CCCO,-37.76652504457147,122
O=C(OCc1cccc(F)c1Br)c1[nH]c2c(Br)cccc2c1CCCO,-41.86747125542868,123
O=C(OCc1cc(F)cc(Br)c1Cl)c1[nH]c2c(Br)cccc2c1CCCO,-41.77162796380957,124
O=C(OCc1cccc(F)c1I)c1[nH]c2c(Br)cccc2c1CCCO,-44.400024718285714,125
O=C(OCc1ccc(F)cc1I)c1[nH]c2c(Br)cccc2c1CCCO,-42.54045416476188,126
O=C(OCc1ccc(I)cc1F)c1[nH]c2c(Br)cccc2c1CCCO,-39.636135638476254,127
O=C(OCc1cc(F)c(F)cc1I)c1[nH]c2c(Br)cccc2c1CCCO,-46.6350302889524,128
O=C(OCc1ccc(Br)cc1I)c1[nH]c2c(Br)cccc2c1CCCO,-36.34758884838094,129
O=C(OCc1cc(F)cc(F)c1Br)c1[nH]c2c(Br)cccc2c1CCCO,-43.96428859885713,130
O=C(OCc1cc(F)c(F)cc1Br)c1[nH]c2c(Br)cccc2c1CCCO,-40.89911362666668,131
O=C(OCc1ccc(F)c(F)c1Br)c1[nH]c2c(Br)cccc2c1CCCO,-45.27453532666662,132
O=C(OCc1c(F)cc(F)cc1Br)c1[nH]c2c(Br)cccc2c1CCCO,-47.112834803999895,133
O=C(OCc1c(F)ccc(F)c1Br)c1[nH]c2c(Br)cccc2c1CCCO,-44.61055843123809,134
O=C(OCc1c(F)cc(Br)cc1Cl)c1[nH]c2c(Br)cccc2c1CCCO,-37.723475036761904,135
O=C(OCc1c(F)cc(Br)cc1Br)c1[nH]c2c(Br)cccc2c1CCCO,-36.85952402247615,136
O=C(OCc1c(F)cccc1I)c1[nH]c2c(Br)cccc2c1CCCO,-41.56265879371429,137
O=C(OCc1cc(F)c(F)c(F)c1F)c1[nH]c2c(Br)cccc2c1CCCO,-45.198324588000006,138
O=C(OCc1c(F)c(F)c(F)c(F)c1F)c1[nH]c2c(Br)cccc2c1CCCO,-42.62671859866661,139
O=C(OCc1cc(F)c(F)c(Cl)c1F)c1[nH]c2c(Br)cccc2c1CCCO,-37.86369830323806,140
O=C(OCc1cc(F)c(F)c(F)c1)c1[nH]c2c(Br)cccc2c1CCCO,-44.92032926800002,141
O=C(OCc1cc(F)c(Br)c(F)c1)c1[nH]c2c(Br)cccc2c1CCCO,-37.2285542198095,142
COc1c(F)c(F)cc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)c1F,-35.40453598819052,143
O=C(OCc1ccc(F)c(F)c1F)c1[nH]c2c(Br)cccc2c1CCCO,-43.58213793847621,144
O=C(OCc1c(F)ccc(F)c1F)c1[nH]c2c(Br)cccc2c1CCCO,-36.54197960723805,145
O=C(OCc1cc(Br)c(F)cc1F)c1[nH]c2c(Br)cccc2c1CCCO,-40.50697977390483,146
O=C(OCc1ccc(F)cc1Br)c1[nH]c2c(Br)cccc2c1CCCO,-49.16623231961898,147
O=C(OCc1cc(F)ccc1Br)c1[nH]c2c(Br)cccc2c1CCCO,-44.27145394019044,148
O=C(OCc1cccc(Br)c1F)c1[nH]c2c(Br)cccc2c1CCCO,-31.98363933999994,149
