Nc1ccc2[nH]c(C(=O)O)cc2c1	ZINCdk000001onPq,0.4482758620689655
Nc1ccc2cc(C(=O)O)[nH]c2c1	ZINCdk000001onNG,0.4482758620689655
Cc1cccc2c1C[C@H](C(=O)O)N2	ZINCdk000001nTD9,0.4482758620689655
Nc1cccc2cc(C(=O)O)[nH]c12	ZINCdk000001onRc,0.4482758620689655
Cc1ccc2c(c1)C[C@@H](C(=O)O)N2	ZINCdk000001nTor,0.4482758620689655
Cc1ccc2c(c1)C[C@H](C(=O)O)N2	ZINCdk000001nTos,0.4482758620689655
Cc1cccc2c1C[C@@H](C(=O)O)N2	ZINCdk000001nTD8,0.4482758620689655
O=C(O)c1cc2ccc(O)cc2[nH]1	ZINCdl000001oxm1,0.4482758620689655
O=C(O)c1cc2cccc(O)c2[nH]1	ZINCdl000001oxlq,0.4482758620689655
Cc1c(C(N)=O)[nH]c2ccccc12	ZINCdl000000YRqD,0.4482758620689655
O=C(O)c1cc2c(O)cccc2[nH]1	ZINCdl000001oxnm,0.4482758620689655
O=C(O)c1[nH]c2ccccc2c1O	ZINCdl000001oynY,0.4482758620689655
O=C(O)c1cc2ccccc2n1O	ZINCdl000001oxl0,0.4482758620689655
O=C(O)c1cc2cc(O)ccc2[nH]1	ZINCdl000001oxmJ,0.4482758620689655
COC(=O)c1cc2c([nH]1)CCCC2	ZINCdm000000YRYu,0.4482758620689655
O=C(O)[C@@H]1Cc2cc(Cl)ccc2N1	ZINCdn000001ozkb,0.4482758620689655
O=C(O)[C@H]1Cc2cc(Cl)ccc2N1	ZINCdn000001ozkc,0.4482758620689655
Cn1c(C(=O)O)cc2ccccc21	ZINCdo000001od7E,0.4482758620689655
COC(=O)c1cc2ccccc2[nH]1	ZINCdp000000YTRj,0.4482758620689655
NC(=O)c1cc2ccc(Cl)cc2[nH]1	ZINCdp000000YU6B,0.4482758620689655
Cc1c(C(=O)O)[nH]c2c1CCCC2	ZINCdp000001nWer,0.5
