name,orig_smiles,prot_smiles,mmgbsa_score,mmgbsa_score_sem,mmpbsa_score,mmpbsa_score_sem,vina_score
ZINCsR000001YcTT,COc1ccc(CCC(C)=O)cc1OC(=O)C[C@H](C)c1c[nH]c2ccccc12,COc1ccc(CCC(C)=O)cc1OC(=O)C[C@H](C)c1c[nH]c2ccccc12,-33.291071883238075,0.5557219090210097,-25.436953333333317,0.41479912838478894,-9.203
ZINCpq00000lQC2Y,Cc1[nH]cc(CCC(=O)Oc2ccc(Cl)cc2C(N)=O)c1S(C)(=O)=O,Cc1[nH]cc(CCC(=O)Oc2ccc(Cl)cc2C(N)=O)c1S(C)(=O)=O,-33.290944812380914,0.520171021234581,-27.638768809523782,0.39694766923899716,-8.553
ZINCtK0000000fxP,CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O[C@@H]1CCc2cc(Br)ccc2C1,CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O[C@@H]1CCc2cc(Br)ccc2C1,-33.2906973331428,0.2122472703415952,-26.05475809523806,0.37028056782028035,-9.7
ZINCnQ00000qV7Co,C/C=C/[C@@H]1CCC[C@H]1OC(=O)CCc1c(C)[nH]c2ccccc12,C/C=C/[C@@H]1CCC[C@H]1OC(=O)CCc1c(C)[nH]c2ccccc12,-33.290560015047554,0.40679682830536085,-27.971782380952316,0.2822883351748923,-9.349
ZINCkU00000rjjmh,Cc1c(C(=O)OCCC(Cl)(Cl)Cl)[nH]c2cc(Cl)ccc12,Cc1c(C(=O)OCCC(Cl)(Cl)Cl)[nH]c2cc(Cl)ccc12,-33.289586816761926,0.2937693341112138,-28.137830000000026,0.27476769198418494,-7.276
ZINCnT00000vqzwK,Cc1ccc2[nH]cc(CCC(=O)O[C@]3(C)CCCC[C@@H]3C)c2c1,Cc1ccc2[nH]cc(CCC(=O)O[C@]3(C)CCCC[C@@H]3C)c2c1,-33.28885595561896,0.2453302358482418,-28.211912857142778,0.21939705662029374,-9.229
ZINCqU0000020mSH,CC(=O)Nc1cc(OC(=O)CCc2c[nH]c3ccccc23)c(Br)cc1Br,CC(=O)Nc1cc(OC(=O)CCc2c[nH]c3ccccc23)c(Br)cc1Br,-33.28857559390473,0.23361743124339687,-28.073752857142818,0.1706497662993524,-9.029
ZINCnQ0000040Jjd,Cc1ccc2[nH]cc(CCC(=O)Oc3c(C)cccc3C)c2c1,Cc1ccc2[nH]cc(CCC(=O)Oc3c(C)cccc3C)c2c1,-33.28835064380963,0.5912490174009293,-25.76497880952392,0.4208129041782129,-9.928
ZINCsV00001b5M4c,Cc1ccc2[nH]cc(CCC(=O)Oc3c(Cl)cc(Cl)c4ccc(C)nc34)c2c1,Cc1ccc2[nH]cc(CCC(=O)Oc3c(Cl)cc(Cl)c4ccc(C)nc34)c2c1,-33.288297139809494,0.33021639356072513,-26.39310904761902,0.3356163348162296,-10.163
ZINCpI000006qLlM,COc1cc(OC(=O)CCc2c(C)[nH]c3ccccc23)ccc1C#N,COc1cc(OC(=O)CCc2c(C)[nH]c3ccccc23)ccc1C#N,-33.28825914285717,0.3394417911152615,-28.085112619047656,0.27126989747165425,-9.112
